"zip","city","county","pop"
"80013","Aurora","Arapahoe","74105"
"80219","Denver","Denver","70638"
"80015","Aurora","Arapahoe","69487"
"80134","Parker","Douglas","69163"
"80634","Greeley","Weld","59702"
"80016","Aurora","Arapahoe","56841"
"80525","Fort Collins","Larimer","56425"
"80631","Greeley","Weld","55872"
"80229","Denver","Adams","55532"
"80504","Longmont","Weld","55479"
"80012","Aurora","Arapahoe","52588"
"80011","Aurora","Adams","52172"
"80022","Commerce City","Adams","51863"
"80020","Broomfield","Boulder","50491"
"80233","Denver","Adams","49875"
"80538","Loveland","Larimer","49258"
"80918","Colorado Springs","El Paso","48965"
"80239","Denver","Denver","47829"
"80123","Littleton","Jefferson","47821"
"80526","Fort Collins","Larimer","46271"
"80127","Littleton","Jefferson","45304"
"80537","Loveland","Larimer","43583"
"80126","Littleton","Douglas","43356"
"80010","Aurora","Arapahoe","42807"
"80401","Golden","Jefferson","42665"
"80221","Denver","Adams","42103"
"80501","Longmont","Boulder","42077"
"80916","Colorado Springs","El Paso","41018"
"80601","Brighton","Adams","40766"
"80920","Colorado Springs","El Paso","40016"
"80014","Aurora","Arapahoe","39333"
"80909","Colorado Springs","El Paso","38382"
"80017","Aurora","Arapahoe","37668"
"80906","Colorado Springs","El Paso","37608"
"80210","Denver","Denver","37087"
"80231","Denver","Denver","36861"
"80521","Fort Collins","Larimer","36729"
"80004","Arvada","Jefferson","36595"
"80524","Fort Collins","Larimer","36497"
"80220","Denver","Denver","36483"
"80003","Arvada","Jefferson","36480"
"80128","Littleton","Jefferson","36435"
"80602","Brighton","Adams","36262"
"80911","Colorado Springs","El Paso","36255"
"80031","Westminster","Adams","35741"
"80211","Denver","Denver","35627"
"80503","Longmont","Boulder","35453"
"80205","Denver","Denver","35054"
"80227","Denver","Denver","34878"
"80260","Denver","Adams","34837"
"80228","Denver","Jefferson","34111"
"80021","Broomfield","Jefferson","34097"
"80112","Englewood","Arapahoe","34092"
"80204","Denver","Denver","34030"
"80027","Louisville","Boulder","34030"
"80241","Denver","Adams","33638"
"80226","Denver","Jefferson","33597"
"80138","Parker","Douglas","33571"
"80111","Englewood","Arapahoe","33256"
"80122","Littleton","Arapahoe","33117"
