CountyID,CountyName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Adams County,128133.40555555557,138042.4722222222,153253.5333333333,175973.17777777778,201303.35555555558,213591.86666666667,218562.13333333333,219396.28333333333,223075.4277777778,223455.26111111112,214908.4444444444,193579.57222222222,183917.5888888889,186966.95,176663.40555555554,181639.64999999997,204357.1777777778,228642.09444444443,263220.0388888889,296396.38888888893
1,Alamosa County,67630.875,66069.17777777778,69118.44444444445,73833.47222222222,77740.0,82612.38888888889,85057.9487179487,88569.7777777778,91630.0,93505.58333333333,96681.47222222223,96776.72222222223,97040.5,95653.25,93893.27777777777,98326.16666666667,106295.55555555556,113325.08333333333,126939.16666666667,138148.77777777778
2,Arapahoe County,269897.3035714285,281234.13095238095,314151.22023809527,360547.9464285714,409783.4345238094,428854.69642857136,434402.7032967033,440531.5238095238,458011.51190476184,469848.5654761905,470148.14285714284,449412.00595238095,441102.8988095239,440048.77380952385,420175.9761904762,430249.12500000006,469030.79761904763,496182.7678571428,553127.5595238095,604530.1785714285
3,Archuleta County,,,,,,,,,196484.4,219535.16666666666,229154.0,281004.6666666667,279217.7916666666,269932.5,265868.625,267919.4583333334,281679.1666666666,303034.0416666667,334200.625,355895.3333333334
4,Baca County,,,,,,,,,,58948.0,57712.0,43461.70833333333,43952.416666666664,41644.33333333333,40941.125,42373.25,44096.541666666664,49411.41666666667,56423.41666666667,62451.16666666667
5,Bent County,,,,,,,,,56247.333333333336,56253.13888888888,55830.916666666664,57921.833333333336,56075.083333333336,53065.916666666664,49752.166666666664,48931.25,53157.222222222226,56971.05555555556,62752.472222222226,69980.72222222222
6,Boulder County,189895.21794871797,202819.4807692308,225650.46794871797,258851.72435897437,295944.91666666674,310542.67948717956,309111.1538461538,317560.7756410256,328216.76923076925,337377.07692307694,337270.69871794875,339331.93589743593,335253.5,332609.42948717944,328155.6025641026,329063.21153846156,344851.12179487175,369085.3333333333,404136.28846153844,452788.4743589743
7,Broomfield County,183467.75,194147.58333333334,217896.58333333334,244054.33333333334,270337.9166666667,274604.5,280876.6153846154,288632.5833333333,294996.25,298929.5833333333,297739.1666666667,292330.0833333333,291792.0,282816.25,276362.6666666667,281535.3333333333,303451.0,330901.0,363728.3333333333,406099.3333333333
8,Chaffee County,,,,,,,,,203499.2208333333,214001.9791666667,223992.00000000003,228317.125,226040.29166666666,220861.64583333334,219015.375,222104.04166666666,235149.24999999997,254426.72916666666,279130.4791666666,305932.5416666666
9,Cheyenne County,,,,,,,,,,,,65876.86111111111,63355.13888888888,62401.222222222226,63987.527777777774,83698.70833333334,85536.625,90876.375,101727.6875,110930.25
10,Clear Creek County,,,145299.33333333334,161083.75,170541.58333333334,187841.16666666666,193020.38461538462,199351.16666666666,188289.22803030303,184212.6388888889,185968.6111111111,187061.77777777778,182400.4444444444,174930.375,171039.86111111112,172738.54166666666,183208.01388888888,198068.13888888888,217298.90277777778,236831.91666666666
11,Conejos County,42011.125,45913.875,52782.833333333336,60319.375,66502.33333333334,68629.45833333333,70072.80769230769,71762.79166666666,69128.86111111111,72792.22222222223,77455.33333333333,75063.22916666667,73046.64583333333,73055.29166666667,72392.5,71250.83333333334,77402.91666666666,80941.60416666666,89971.83333333334,98238.3125
12,Costilla County,,,,,,,66218.0,68553.66666666667,71491.08333333333,75416.33333333333,77226.83333333333,77239.41666666667,74286.58333333333,73601.08333333333,75225.16666666667,75427.83333333333,83403.27462121213,81368.70833333333,85957.29166666666,93928.1875
13,Crowley County,,,,,,,,,41456.857142857145,40692.25,42163.916666666664,44034.666666666664,42407.969696969696,39721.833333333336,33937.35119047619,34291.3125,37356.625,39134.916666666664,42276.145833333336,45537.25
14,Custer County,,,142360.66666666666,153657.16666666666,171968.5,173595.16666666666,170555.3076923077,168477.33333333334,150774.97222222222,149347.83333333334,152710.55555555553,152237.52777777778,148003.25,140697.30555555556,131926.25,133130.44444444447,142651.33333333334,156347.8611111111,168736.8611111111,179952.91666666666
15,Delta County,99909.45833333334,106193.66666666666,117416.16666666666,126661.95833333334,137111.45833333334,145357.0,162872.67521367522,167772.61111111112,173781.09722222222,181971.52777777778,189049.91666666666,191379.0,187996.51388888888,185859.47222222225,184698.0,187335.7361111111,199705.04166666666,211447.9861111111,229343.33333333334,245980.44444444447
16,Denver County,144211.08333333334,157625.33333333334,175471.91666666666,202976.33333333334,232443.58333333334,246901.75,249635.46153846153,254793.58333333334,261636.58333333334,266078.6666666667,264182.6666666667,249410.25,241534.16666666666,243144.25,233124.58333333334,241457.16666666666,267805.5,295126.8333333333,334190.8333333333,373186.75
17,Dolores County,,,,,,,,,,66368.33333333333,67801.75,70630.41666666667,70696.66666666667,68571.25,68168.83333333333,149669.55681818182,139984.99444444446,141179.44444444447,145145.6388888889,155149.25
18,Douglas County,237211.0,248918.65833333335,269442.32500000007,299965.4583333334,333321.9833333333,344198.61666666664,350817.1615384615,360330.7833333333,375187.76666666666,387729.275,390944.5333333333,376167.65,355795.9083333333,351189.32499999995,345472.35,356044.0833333333,391405.2348484848,416145.0833333334,448269.53787878784,483301.8712121213
19,Eagle County,352306.9270833334,371096.65625,413701.9479166667,445860.9791666667,467242.96875000006,465369.1041666666,476061.5961538462,497978.0104166666,539251.6238095238,630730.85,694304.8666666668,708873.9166666666,661011.5075757577,636962.4924242423,550637.5378787878,532394.2045454546,535434.7045454546,590663.6363636364,627296.3409090908,648338.4393939395
20,El Paso County,148008.73611111112,155517.51388888888,172000.96153846153,181790.16666666666,197871.5892857143,208476.73809523808,216705.75274725276,225299.7976190476,236828.45833333334,247969.3333333333,253528.8988095238,244615.6071428571,230627.84999999998,230959.5666666667,223447.50000000003,225518.2833333333,232865.80555555556,242182.01111111112,256549.43333333326,275523.06666666665
21,Elbert County,178118.25,191820.7083333333,222439.54166666666,249844.2083333333,182182.4583333333,189146.25000000003,193470.2307692308,203304.25,217182.75,224496.86666666664,225258.68333333335,218239.58333333334,214001.61666666664,210261.23333333334,205011.88333333336,205649.56666666668,217627.6,235147.6666666667,261151.05,283017.63333333336
22,Fremont County,,,,,,,,,154187.89166666666,156377.25,150672.0833333333,150391.3333333333,148676.2916666667,147782.66666666666,152922.63888888888,164130.91666666666,170447.91666666666,187640.6388888889,170941.31666666668,184140.62500000003
