,RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
0,9,California,1,392500,373800,351800,334700,320100,306600,293300,279600,265600,255900,244700,238900,230200,223800,219800,223500,232200,239700,245900,249900,255500,261500,265600,266300,263800,260900,263500,263100,266100,262200,264200,260400,259300,258100,256900,256800,252600,250800,246200,243800,242600,243000,244400,243400,244300,244300,247300,247700,249100,253200,257900,261800,267100,271200,279500,283700,292900,301700,307000,309000,311800,320000,330400,339400,349100,353800,356500,356500,359500,363900,366300,368600,367600,369500,372200,373100,375200,376700,380000,380900,381100,383100,385300,389600,391500,394600,394000,395700,396700,399300,399300,399100,401100,407800,414000,413400,410100,409000,412600,414300,415200,416500,419300,419700,420300,420700,423900,424000,427300,427300,431700,434700,437600,439000,441500,448900,458900,465100,469200,472300,476400,479200,480800,482300,483600,483200,482800,484700,486200,486500,485900,488400,489900,493200,492200,493000,491900,491600,493800,498400,505600,513500,518700,524400,
1,54,Texas,2,139900,139300,137600,137400,137700,139500,139600,139200,137100,135000,133800,134600,136200,137200,137600,139300,141100,142800,143200,143100,142200,140600,139900,139800,141000,141300,139900,139200,139400,142200,142900,143200,143000,144600,144600,144200,142300,140500,139500,139600,140800,142000,142700,143900,144000,144700,143700,143400,143900,146500,148800,151100,151900,152500,152200,152700,153600,154100,153700,152600,153400,157100,161000,163900,165000,165900,166300,166500,167000,167400,165700,166400,166900,169100,169300,170000,170700,172500,173600,174400,174600,175800,177300,177900,179000,179200,180800,181900,183300,184300,184300,184500,184300,185500,186900,187900,188300,188700,190400,191900,193500,194200,195600,197400,199300,200000,200500,201400,202200,203400,203800,205000,205100,205700,206500,207500,208600,208900,210200,212500,214100,215300,215300,215500,215300,214400,214800,215300,216700,217700,217800,219100,220500,223300,224700,226100,226700,228100,229400,232700,234700,236800,237200,239900,
2,43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235400,237800,244400,250100,252800,246700,244300,241300,236200,235600,232200,229200,222500,220900,220700,225200,225700,228800,234400,235900,235100,234500,233900,237000,235800,237600,237000,238200,236300,242200,244500,250100,253500,261100,267800,265900,262600,258400,259500,256300,253200,251800,249000,243800,241700,242100,247500,247500,250000,250800,254300,253300,252400,248200,249000,243700,247000,248700,255100,257200,256800,251500,246600,249400,255200,252100,252100,251500,258800,257000,257100,256100,254300,253300,256300,258800,263800,262500,264100,262600,263800,267300,270400,272100,267800,266300,268500,273300,280500,282000,283200,282800,282600,282400,282100,284400,288600,290200,289700,285700,287900,287500,297000,298100,301700,295100,296000,297100,305400,308800,324800,342500
3,14,Florida,4,203400,195500,189300,184800,181700,178100,172700,167100,161900,155600,149300,144100,138600,133500,128100,125600,126300,127200,128700,128400,129300,129300,128800,127600,125500,124400,122200,121000,118100,115700,113500,114000,115300,116500,113600,110200,107700,108400,110600,112400,114400,114600,114500,113600,114300,115800,117500,117800,118200,119900,121100,122500,121600,122300,122700,124600,126700,129900,132200,133300,133200,134800,136900,139700,141600,144200,144900,145200,145600,146800,147500,147200,146900,147300,147800,148500,149900,151300,153100,154500,156300,157500,158100,158500,160200,161700,164300,165200,166000,166300,167300,168800,169100,169900,172200,174600,176400,176800,177800,178800,179900,181300,182600,183800,184200,185000,186800,189600,191600,192300,192600,193400,195100,196600,197900,199000,200500,203000,206500,211800,215800,217700,215900,215100,214900,216500,217400,219300,221900,223600,224600,225800,225300,224400,223800,224600,226100,227000,228900,230800,234400,238100,243300,247600,
4,21,Illinois,5,204400,198400,185000,177500,174300,176300,176900,177400,173800,172400,166800,164500,159400,154800,149100,144700,145400,151000,155300,158600,156800,159500,161900,164700,160300,154600,149500,149500,148000,147300,143800,145100,145200,147200,147000,145900,141500,135600,130900,129800,131600,134500,135500,134700,131800,131500,130600,130400,130700,130500,131900,132400,133800,135000,134100,133500,132700,132400,132700,132700,132800,133100,135300,139400,143800,147400,150000,153600,154100,156000,154400,155300,152700,151900,152000,154700,157000,158500,160800,162700,162700,162700,161800,163500,162900,163900,163000,162700,162200,161500,161100,159700,156200,154800,153200,154900,155700,157400,159100,159600,159300,160000,159500,161400,161600,164600,165300,167200,169000,170100,170300,168400,166300,166500,166200,168700,170300,172600,175900,178800,183400,184600,183400,184900,185400,185200,182100,181200,183400,182500,184200,188500,195700,199000,198700,195900,192000,189500,188100,190000,191300,194600,195100,200200,210300
5,47,Pennsylvania,6,146400,144800,142500,138800,138800,140300,141300,139900,136900,134700,133800,134300,136500,137000,136400,135300,135100,136700,138700,140000,142000,143000,142100,141600,142300,143900,142800,139100,136500,134000,133100,133300,135700,137500,137900,137900,136900,134700,131700,130300,131000,131700,131300,131400,131500,133400,135400,137300,137400,137900,138200,138700,138300,138000,137700,137400,138500,140400,141600,141900,140900,141500,140600,140700,141600,142300,142800,141900,140900,140600,140100,141200,141500,140000,139000,138600,140000,141200,141700,141600,141600,142300,142800,142600,143600,143900,144400,143700,144700,145500,146100,146100,145200,144500,145200,146500,146800,147200,147500,149100,149200,148800,148500,149000,149700,150600,150700,151800,152900,153600,153800,154800,156000,156400,155500,156100,156600,157500,159000,159400,162900,161600,161900,159600,159400,158800,158500,158400,161100,161500,163400,165500,167600,169100,168200,168600,168700,168500,168800,169600,172100,173300,176500,180800,
6,44,Ohio,7,110700,108700,107800,107400,107600,107200,105500,102500,95800,89900,85900,85500,86800,88900,92000,95600,99300,102000,104500,106400,108400,107900,105100,103600,103600,104100,105700,105800,102300,97100,92800,93400,94400,98000,98000,94900,88700,86400,87600,92000,94800,95900,94300,93400,92400,93300,92100,91300,90900,93100,96600,99100,102700,104600,104800,103600,103100,103900,103900,101600,100500,99100,102900,106300,110500,111400,110600,108200,108500,107400,108400,107200,108900,109600,111100,112800,115600,116900,116900,116100,115400,115800,112900,113000,112900,115300,117100,117700,119400,119400,119700,119600,116800,116500,116000,120000,121000,123600,123400,123200,122100,121800,122100,123500,124300,125400,126400,126900,127200,127200,126500,126400,125300,126700,127700,129500,130700,131900,133300,135900,136200,135500,133100,132100,132100,132300,132800,133700,134300,135900,137200,139600,141300,141200,141100,140300,141300,140600,140600,140900,142300,145200,146900,152000,
7,30,Michigan,8,97800,94800,90200,85800,85400,85100,84500,81500,75100,70100,63700,61000,57300,55300,54600,54200,57900,61500,65700,67800,69700,73000,73500,73000,70200,70300,71300,71900,70700,67700,65700,64600,63700,64500,65800,66400,64800,62100,61300,62000,64500,67200,68200,67400,59900,61400,62200,68300,65700,66600,68900,71700,73000,75800,77300,77300,65100,65800,67500,81200,83400,85500,87400,89100,93900,97900,101300,100300,86400,84900,84700,97700,97300,98600,101000,105800,109700,112000,114100,113400,98400,93200,95700,110700,116000,116700,119400,121400,122600,122800,122800,120500,109300,109100,112100,125500,127700,128300,128000,127500,127900,128700,129600,132400,133400,135400,134900,137000,136300,137100,135100,135800,135200,136400,137100,139500,141300,143200,143900,146100,147400,147300,145400,143600,143700,144400,144900,144200,143900,144600,146900,152100,155200,156200,153300,151200,151600,152700,153700,154300,155200,157700,160400,170100,
8,16,Georgia,9,143200,139100,135300,133300,132300,134000,132900,132200,127800,123700,122000,121600,121000,117900,115000,114900,117300,120800,124000,126000,127800,128000,127000,123100,119500,117100,116900,116400,114700,113100,113600,115100,115700,114600,113700,109600,105900,101100,98800,97300,97400,97300,95800,93200,93300,93500,93400,92700,93400,95500,96100,96600,97900,100000,101800,101900,104200,108200,110100,112000,113300,117900,120500,123000,124600,126400,125900,126400,125900,127400,126500,128000,127200,129300,131500,134900,137300,138100,137800,138400,139100,142500,141700,143900,143900,151700,152800,154400,150800,151900,152800,153400,153800,153700,154400,154400,155400,155900,156700,156000,156800,156800,158100,158600,161600,161600,162600,161500,164500,165000,166300,165900,166800,166800,168500,170500,173000,174200,174800,177800,178700,180900,179500,180300,179800,179100,181500,182900,186700,186700,188900,190500,191900,192700,194200,195600,197600,197800,199800,199600,202700,204900,208100,212500,
9,36,North Carolina,10,154400,151500,147500,145900,146300,145600,144700,145400,142900,141900,140900,146300,147900,145900,142200,140900,143200,144100,145100,145700,146700,146400,149000,149100,149300,145000,143000,142400,142900,142500,142900,143100,144300,145300,145000,144600,142000,140000,138000,137700,137800,138700,137600,137900,137700,139800,140900,141900,142300,141500,141100,141100,142000,142400,141400,141900,142300,145400,145900,146600,145500,146200,146600,147200,147900,148100,148300,148400,148300,149800,150300,150800,149300,148000,148900,149200,150800,151000,152700,153200,153400,154200,157700,162400,163900,163200,162900,163300,163700,162500,162700,162600,162800,163400,166100,166600,166000,164400,164900,166600,167100,168800,169300,171200,171500,171600,171600,171600,173400,173000,172500,172500,173800,174600,174300,175000,177300,179200,183200,187200,191200,190400,188600,187100,188000,188600,189700,190700,192100,192500,193700,196100,198400,199800,199600,199700,201100,202100,205200,206200,209900,212700,216100,221900,
