,RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020
0,9,0,California,State,CA,162238,162008,161859,161569,161373,161219,161124,161108,161134,161286,161466,161723,161740,161821,161987,162455,163017,163607,164330,165102,165966,166744,167646,168672,170102,171684,173198,174483,175645,176851,177940,179131,180433,181814,183092,184178,185461,186817,188237,189506,190822,192380,194041,195514,196836,198385,200261,202332,204343,206267,208247,210387,212724,215159,217664,220334,223087,225755,228411,231098,233674,236339,239120,242059,244691,247001,249041,251051,253107,255261,257377,259499,261655,263999,266416,269033,271837,275123,278849,282791,286658,290558,294701,298975,303071,306820,310582,314351,318246,321591,325297,329393,334185,338958,344095,349227,355150,361453,368144,375002,382694,391427,399983,407927,415466,423001,430080,437291,443946,451162,458205,465654,472185,478216,484395,490820,497482,503778,508900,513443,517234,520409,523416,525630,528120,529413,529825,529421,527893,526151,524634,523189,521719,519761,517558,515308,511894,508205,503709,498990,493386,486845,480263,472911,465554,456340,445900,434567,423413,413157,402889,393265,384497,376639,367890,359256,351269,346334,341995,337985,334368,331771,330486,329603,329026,329036,330537,332530,334006,333810,334587,335764,337485,337017,335726,334062,332750,331019,328651,326613,324888,323423,321206,318951,315849,314027,312583,311168,309480,307633,306901,305721,304983,304423,304600,305287,306825,308746,311068,313988,317372,321549,325401,330487,335514,341473,348066,355438,362989,370604,378073,385353,391783,397373,402495,406948,411466,415177,417355,418414,419028,419865,421182,421874,423137,424490,426958,428782,430702,432881,436160,438895,441760,443971,446142,448727,451692,454906,457425,460930,464023,466704,468372,471032,473590,476308,478638,481619,484368,487374,489910,492092,494493,497082,500194,503014,506266,509773,512723,515450,518472,521932,526091,530358,534835,539252,543105,545959,548081,550054,552266,553939,554943,555697,556407,556266,555695,554527,553933,554131,554663,555305,556199,557569,559490,561495,563523,566433,569813,573975,578267
1,54,1,Texas,State,TX,97631,97656,97684,97811,97948,98064,98152,98273,98427,98607,98823,99062,99086,99088,99078,99210,99303,99432,99565,99732,99910,100153,100381,100618,101091,101542,101988,102113,102323,102536,102845,103082,103306,103379,103416,103421,103640,104126,104792,105532,106215,106893,107539,108090,108543,109075,109659,110246,110628,110908,111079,111268,111309,111348,111350,111539,111786,112033,112327,112650,112877,112871,112709,112613,112700,112804,112929,112975,113081,113208,113298,113387,113491,113727,114066,114486,114910,115401,115882,116375,116792,117175,117573,117957,118234,118322,118313,118352,118480,118716,118938,119221,119460,119772,120050,120371,120949,121981,123333,124471,125319,125812,126407,126952,127617,128229,128811,129389,130011,130416,130668,130846,131105,131497,131826,132166,132451,132633,132937,133172,133536,133944,134396,134833,135348,135881,136424,136891,137397,138058,138624,139198,139597,139887,140092,140412,140776,141190,141486,141950,142397,142788,143057,143288,143090,142690,142136,141788,141399,141027,140740,140341,139843,139299,138715,138159,137859,137846,137913,137796,137639,137500,137467,137382,137328,137256,137468,137635,137726,137702,137715,137807,137833,137714,137247,136718,136185,135759,135247,134821,134413,133890,133320,132749,132287,131864,131680,131655,131750,131772,131646,131478,131451,131687,132032,132328,132646,132996,133424,133808,134100,134381,134832,135421,136111,136752,137506,138349,139213,140085,140977,141913,142946,144033,145113,146067,146931,147822,148615,149380,150178,151098,151974,152922,153868,154845,155816,156823,157844,158856,159941,161046,162077,163091,164088,165053,165939,166883,167742,168643,169584,170497,171382,172238,173269,174242,175300,176224,177210,178102,179215,180390,181448,182498,183417,184405,185242,186104,186867,187640,188474,189462,190464,191376,192172,192999,193974,195061,196105,197116,198023,198972,199756,200683,201495,202476,203433,204358,204958,205377,205843,206423,207079,207699,208380,208865,209358,209723,210164,210591,211199
2,43,2,New York,State,NY,139108,138793,138607,138327,138224,138158,138078,137996,137959,137978,138035,138139,138115,138394,138698,139067,139199,139366,139670,139972,140266,140486,140915,141375,142237,142735,143206,143307,143567,143832,143966,144380,144883,145663,146132,146622,146879,147407,147972,148840,149782,150791,152110,153180,154239,155001,155839,156598,157345,158400,159620,160984,162193,163375,164307,165156,165978,166944,168139,169392,170665,171715,172766,173798,174919,176046,177216,178441,179653,180969,182325,183752,185216,186618,187846,189103,190396,191829,193295,194853,196405,197916,199464,201143,202815,204590,206702,208693,210598,212288,214009,215925,217921,219973,221733,223381,225162,226948,228579,230277,232170,234333,236566,238657,240830,242908,245277,247498,249757,252025,254247,256631,258968,261222,263527,265887,268400,270894,273160,275482,277499,279384,280957,282363,283602,284908,285974,286848,287282,287551,287678,287849,287958,288110,288389,288507,288769,288753,288869,288915,288925,289178,289438,289420,289335,288912,288472,287775,286783,285712,284421,283226,281941,280344,278633,277041,275500,274079,272668,271387,270216,268997,267913,266927,266317,266047,265973,265935,265765,265719,265568,265747,265827,266209,266343,266122,265513,264597,263739,262806,262195,261604,261166,260303,259396,258204,257293,256631,256185,255858,255362,254965,254497,253917,253395,253031,252979,253057,253168,253348,253543,253678,253953,254314,254708,255302,255809,256563,257251,258069,258877,259580,260285,261119,261970,262722,263470,264192,265040,265656,266168,266542,266815,267162,267530,267984,268428,269022,269595,270055,270357,270765,271276,271945,272713,273463,274209,274785,275352,275749,276181,276921,277869,278857,279700,280370,281070,281881,282741,283733,284786,286089,287324,288271,289105,290142,291567,293268,294866,296326,297694,299125,300565,301822,303174,304590,306064,307454,308727,310035,311485,313053,314709,316173,317445,318491,319425,320268,321233,322061,322909,323518,324039,324498,324903,325371,325925,326646,327360,328101,328677
3,14,3,Florida,State,FL,100595,100691,100803,101013,101215,101444,101665,101863,101993,102128,102280,102471,102480,102546,102627,102932,103215,103463,103704,103958,104253,104517,104823,105131,105824,106404,106914,107010,107178,107289,107453,107702,108146,108677,109066,109367,109446,109648,109890,110335,110782,111411,112067,112657,113052,113398,113874,114396,114962,115531,116183,116888,117559,118180,118770,119372,120043,120756,121532,122338,123175,124048,124939,125849,126794,127754,128800,129881,131032,132198,133340,134451,135534,136574,137594,138633,139713,140837,141963,143154,144317,145544,146795,148234,149725,151301,152851,154413,155912,157316,158667,160013,161529,163212,165037,166799,168618,170462,172381,174263,176366,178720,181336,184192,187150,190166,193182,196431,199872,203546,207406,211553,216009,220836,226082,231421,236727,241718,246493,251031,255298,259108,262940,266737,270105,272639,274150,275039,275186,274989,274604,273739,272742,271480,269909,267772,265264,262324,259127,255836,252644,249431,245929,242342,238292,234155,229628,225318,220774,216597,212327,208023,203722,199331,194848,190554,186547,182925,179447,175934,172788,169878,167598,165540,163684,162169,161233,160381,159692,158933,158424,157944,157403,156597,155503,154213,152850,151362,149755,148251,146713,145286,143783,142438,141159,140155,139237,138613,138138,137894,137748,137636,137635,137685,137993,138470,139053,139734,140524,141426,142379,143417,144501,145755,147224,148882,150588,152328,154225,156119,158156,160250,162383,164278,166120,167802,169366,170689,171967,173048,174060,174920,175794,176432,177163,178153,179235,180328,181342,182486,183623,184760,185940,187199,188386,189737,191143,192545,193809,195185,196669,198234,199575,200920,202167,203579,205051,206449,207690,208834,210156,211429,212753,213938,215195,216603,218018,219415,220664,222072,223442,224803,226015,227254,228195,229278,230565,232037,233524,234746,235901,236997,238143,239227,240303,241419,242436,243067,243435,243819,244230,244754,245385,245996,246632,247345,248103,248825,249766,250981,252309
4,21,4,Illinois,State,IL,139112,138861,138544,138172,137661,137359,136935,137399,138103,139559,140748,141653,141961,141960,142094,141975,142120,141925,141675,139664,137160,133448,130518,128358,127520,127363,127274,127244,127196,127144,127445,128623,130311,132528,134423,135875,136547,136925,137314,137825,138259,139006,139808,140593,141122,141767,142549,143388,144394,145401,146414,147319,148201,149049,149842,150753,151733,152742,153777,154858,155897,156806,157734,158719,159838,160903,161883,162815,163820,164895,165984,166943,167837,168769,169867,170812,171807,172746,173911,175027,176093,177111,178021,179099,180148,181334,182360,183502,184452,185360,186213,187286,188527,189742,190900,191919,193125,194273,195461,196716,198073,199621,201045,202392,203505,204707,206071,207571,208888,210215,211522,212952,214373,215847,217340,218787,220420,222007,223463,224786,226007,227277,228333,229370,230224,230974,231517,232117,232525,232873,233068,233393,233861,234446,234300,234179,233370,233165,232368,232045,231239,230755,230096,229299,228473,226266,225562,223157,222500,219807,218623,215960,214422,211849,209757,206759,203713,201427,198899,197155,194747,192982,191558,190410,188856,187617,186485,186326,185760,185496,184139,184013,182880,182904,180747,179618,177831,176861,174964,173343,171726,170479,169328,167477,166197,164361,163916,162818,162256,160499,159602,158157,157389,155851,155485,155004,154996,154561,153946,153383,152870,153202,153736,154307,154972,155859,156474,157377,157983,159185,160302,161889,163285,164845,165650,166686,167293,168199,168593,168761,169182,169901,170651,171076,171605,171905,172474,172865,173234,173350,173850,174640,175407,175635,175906,176148,176482,176722,177013,177470,178058,179086,179961,180697,181200,181846,182618,183355,183984,184681,185533,186451,187436,188194,189094,189921,190695,191287,191800,192487,193258,194120,194924,195794,196653,197305,197657,197969,198406,199019,199511,199965,200502,201000,201475,201729,201814,202066,202326,202678,202923,203158,203458,203678,203788,203850,203907,204058,204302,204527,204839
5,47,5,Pennsylvania,State,PA,96300,96233,96166,96057,95958,95911,95877,95916,95943,96025,96126,96259,96358,96463,96623,96840,97105,97351,97621,97755,97917,98017,98210,98426,98731,99015,99238,99372,99486,99575,99667,99907,100191,100530,100705,100803,100867,101004,101191,101432,101657,101925,102200,102453,102718,102964,103289,103678,104115,104628,105125,105611,106090,106540,106983,107360,107755,108177,108674,109202,109724,110191,110687,111195,111652,112092,112537,113030,113519,114002,114558,115099,115679,116252,116879,117527,118165,118789,119440,120217,121012,121857,122591,123388,124200,125035,125854,126673,127578,128544,129478,130352,131246,132209,133122,133999,134826,135941,137044,138185,139323,140499,141821,143056,144380,145583,146956,148342,149844,151014,152217,153460,154814,156224,157643,159230,160757,162239,163612,164945,166128,167208,168195,169188,170184,171199,172024,172701,173217,173700,174073,174414,174825,175294,175804,176139,176438,176584,176886,177139,177339,177464,177612,177734,177679,177520,177166,176835,176369,175887,175187,174474,173833,173273,172635,171885,171097,170506,170028,169600,169148,168767,168524,168298,168158,168117,168276,168498,168807,169004,169194,169324,169379,169320,169041,168606,167921,167105,166181,165326,164521,163769,163031,162199,161387,160570,159945,159524,159306,159113,158868,158570,158235,157906,157617,157450,157382,157303,157187,157100,157038,157060,157115,157255,157446,157649,157863,158157,158483,158893,159318,159681,160020,160267,160571,160788,161029,161258,161455,161510,161531,161676,161914,162103,162213,162327,162476,162697,162870,163010,163299,163729,164267,164534,164700,164884,165218,165602,165945,166193,166596,167144,167503,167720,167798,168241,168724,169294,169731,170194,170724,171430,171920,172358,172774,173495,174265,175009,175723,176452,177251,178091,178842,179576,180412,181286,182482,183527,184516,185118,185701,186276,186932,187529,188227,188886,189618,190311,190764,191190,191696,192437,193202,193945,194608,195286,195918,196555,197133,197735,198377
6,44,6,Ohio,State,OH,92098,92209,92355,92659,92975,93266,93524,93812,94111,94413,94712,95022,95320,95620,95903,96192,96490,96820,97173,97478,97769,98036,98324,98624,98987,99388,99774,100097,100411,100746,101131,101523,101922,102364,102783,103130,103381,103652,103983,104327,104607,104864,105136,105460,105800,106149,106515,106968,107501,108029,108466,108922,109458,110038,110530,110972,111406,111829,112263,112679,113088,113456,113855,114243,114602,114905,115240,115597,115951,116289,116598,116885,117152,117423,117721,118014,118317,118611,118920,119201,119487,119790,120151,120525,120895,121255,121588,121943,122293,122689,123088,123555,124016,124465,124824,125177,125494,125855,126228,126589,126955,127289,127644,127927,128222,128504,128833,129160,129549,129931,130313,130652,130942,131240,131504,131809,132085,132380,132697,132998,133229,133370,133493,133615,133735,133812,133884,133907,133852,133783,133695,133600,133511,133467,133303,133074,132776,132516,132192,131876,131652,131404,131013,130618,130246,129860,129516,129092,128695,128233,127864,127450,126956,126322,125804,125180,124472,123623,122862,122291,121825,121383,120920,120485,120142,119962,119782,119687,119593,119674,119611,119542,119363,119156,118723,118219,117647,117074,116443,115772,115216,114640,114150,113505,112890,112315,111959,111676,111404,111083,110808,110588,110308,110005,109805,109707,109577,109384,109231,109188,109237,109292,109327,109391,109588,109871,110113,110382,110723,111172,111575,111967,112259,112655,112999,113290,113312,113271,113226,113294,113425,113629,113875,114022,114228,114374,114677,115057,115612,116205,116739,117187,117648,118084,118519,118934,119333,119720,120084,120412,120819,121216,121729,122199,122630,123046,123507,124046,124614,125197,125833,126532,127273,127971,128608,129274,129921,130596,131182,131938,132735,133637,134412,135133,135609,136231,136924,137903,138786,139599,140358,141008,141588,142155,142892,143648,144455,145173,145875,146398,146936,147560,148267,148958,149681,150356,150953,151551,152229,152916,153593
7,30,7,Michigan,State,MI,90643,90966,91276,91942,92599,93271,93878,94442,94960,95475,96040,96658,97307,97903,98524,99074,99655,100156,100747,101411,102144,102876,103530,104096,104675,105284,105885,106449,107000,107621,108256,108867,109490,110129,110765,111420,111940,112599,113226,114009,114737,115567,116360,117167,117922,118667,119416,120172,121056,121839,122678,123439,124290,125083,125958,126767,127525,128233,129024,129844,130573,131209,131811,132423,133047,133595,134125,134671,135292,135874,136389,136853,137376,137913,138474,138938,139292,139642,139938,140284,140567,140903,141252,141621,141958,142358,142629,143018,143468,144020,144531,144998,145503,146036,146522,146987,147420,147825,148305,148705,149110,149491,149944,150361,150731,151096,151465,151831,152214,152524,152871,153210,153610,153886,154097,154315,154589,154809,154985,155124,155258,155384,155413,155337,155131,154823,154553,154164,153776,153226,152653,151933,151187,150501,149835,149217,148358,147566,146551,145816,144703,143557,142223,141206,140233,139056,137603,135821,134111,132379,130662,128660,126879,125419,124032,122259,120045,117954,115948,114241,112572,110986,109759,108650,107770,106685,105860,105157,104903,104532,104315,104180,104202,104232,103826,103271,102457,101737,100935,100304,99591,99053,98369,97673,96936,96244,95761,95564,95595,95655,95662,95672,95721,95745,96025,96353,96838,97345,98009,98635,99229,99964,100786,101561,102359,103376,104547,105781,106966,108170,109469,110854,112321,113628,114860,116122,117406,118512,119350,120072,120831,121673,122391,122953,123386,123872,124429,124938,125464,126029,126762,127411,127938,128403,128921,129543,130053,130565,131163,131965,132712,133407,133897,134662,135480,136405,137326,138203,139283,140362,141341,142192,143029,143928,144980,146051,147223,148215,149038,149896,150790,151767,152792,153797,155029,156289,157497,158537,159421,160428,161435,162529,163480,164396,165196,166175,166925,167685,168183,168709,169249,169906,170651,171318,172047,172772,173597,174330,175146,175948,176977
8,16,8,Georgia,State,GA,102841,103000,103162,103513,103865,104240,104588,104939,105282,105655,106045,106467,106808,107199,107618,108121,108592,109019,109482,109991,110550,111086,111606,112133,112873,113546,114148,114524,115014,115569,116166,116747,117309,117893,118505,119081,119552,120055,120654,121387,122087,122803,123550,124242,124944,125625,126323,126991,127624,128369,129170,130060,130890,131713,132505,133350,134197,135073,135956,136923,137910,138736,139460,140088,140796,141463,142132,142793,143431,144039,144605,145142,145638,146175,146671,147182,147653,148137,148581,148956,149337,149731,150123,150444,150792,151138,151545,151862,152141,152396,152682,153012,153333,153633,153949,154340,154736,155155,155556,156015,156449,156845,157247,157707,158203,158735,159230,159685,160086,160475,160894,161402,162012,162671,163270,163815,164391,164964,165603,166163,166801,167395,167955,168388,168777,169228,169750,170265,170718,171127,171516,171969,172412,172834,173238,173565,173778,173824,173757,173628,173349,173027,172636,172307,171694,170904,169888,169043,168215,167314,166233,165020,163857,162565,160990,159044,157239,155551,153986,152117,150289,148620,147379,146325,145376,144366,143596,143046,142475,141845,141244,141000,140817,140443,139495,138236,136698,135371,133968,132826,131595,130583,129273,127828,126167,124703,123595,122947,122670,122417,122115,121456,120965,120462,120535,120722,121125,121549,122062,122390,122554,122769,123366,124202,125257,126353,127425,128432,129529,130727,131941,133295,134726,136181,137408,138688,139774,140851,141717,142589,143345,144044,144803,145512,146272,146969,147690,148346,148986,149594,150188,150873,151711,152615,153389,154144,154868,155557,156238,156899,157740,158562,159531,160478,161355,162063,162690,163330,163864,164586,165381,166351,167152,168027,168891,169803,170720,171783,172973,174126,175490,176785,178215,179579,181018,182368,183518,184700,185955,187312,188621,189860,191024,192208,193428,194542,195505,196271,197208,198157,199137,199915,200671,201487,202268,203012,203623,204290,205044,205955,206804
9,36,9,North Carolina,State,NC,109754,109967,110158,110554,110946,111388,111857,112317,112720,113196,113726,114294,114847,115392,115986,116547,117070,117501,117886,118362,118931,119379,119754,120089,120525,120898,121234,121572,122054,122592,123152,123595,124011,124486,124938,125369,125672,126066,126444,126914,127271,127622,127991,128357,128749,129096,129518,129964,130415,130953,131498,132090,132630,133162,133648,134103,134545,135007,135548,136100,136691,137098,137469,137763,138096,138414,138683,139016,139335,139684,139908,140098,140257,140453,140675,140858,141087,141299,141572,141783,141993,142182,142390,142601,142832,143071,143329,143562,143801,143998,144222,144486,144759,145014,145272,145585,145971,146355,146726,147082,147405,147767,148102,148448,148847,149289,149803,150313,150740,151243,151704,152305,152887,153592,154337,155119,155886,156710,157520,158332,159122,159907,160722,161528,162388,163206,164071,164920,165764,166528,167218,167892,168609,169235,169876,170483,171136,171777,172318,172806,173166,173435,173694,173914,174082,174101,174035,173881,173648,173274,172819,172390,171926,171418,170722,169958,169139,168554,167964,167249,166361,165515,164841,164110,163493,162983,162681,162345,162037,161572,161171,160933,160800,160569,160055,159476,158810,158191,157520,156906,156213,155528,154725,153786,152941,152274,151786,151277,150867,150340,149844,149356,149001,148737,148553,148571,148493,148359,148231,148288,148344,148451,148575,148692,148849,149006,149336,149679,150150,150651,151171,151688,152154,152687,153145,153716,154189,154681,154983,155231,155442,155627,155785,155864,156054,156275,156664,157047,157531,158015,158634,159161,159624,160058,160616,161263,161819,162313,162718,163088,163504,164011,164483,165085,165817,166726,167600,168424,169288,170136,171036,171959,172833,173633,174519,175479,176420,177231,177938,178738,179613,180689,181713,182793,183877,185010,186047,186943,187921,188950,190119,191214,192254,193106,194045,194993,196050,196911,197729,198563,199401,200259,201069,201906,202753,203661,204527,205358,206116,207023,208001
