year,county,Description,LineCode,GeoFips,GDP_Change
2010,Adams,All industry total,1.0,8001,1.7
2010,Adams,Private industries,2.0,8001,1.8
2010,Adams,"Agriculture, forestry, fishing and hunting",3.0,8001,31.9
2010,Adams,Real estate and rental and leasing,56.0,8001,3.5
2010,Adams,Government and government enterprises,83.0,8001,1.2
2010,Alamosa,All industry total,1.0,8003,-2.5
2010,Alamosa,Private industries,2.0,8003,-4.2
2010,Alamosa,"Agriculture, forestry, fishing and hunting",3.0,8003,-64.4
2010,Alamosa,Real estate and rental and leasing,56.0,8003,-0.9
2010,Alamosa,Government and government enterprises,83.0,8003,3.8
2010,Arapahoe,All industry total,1.0,8005,4.1
2010,Arapahoe,Private industries,2.0,8005,4.4
2010,Arapahoe,"Agriculture, forestry, fishing and hunting",3.0,8005,-12.6
2010,Arapahoe,Real estate and rental and leasing,56.0,8005,33.2
2010,Arapahoe,Government and government enterprises,83.0,8005,1.9
2010,Archuleta,All industry total,1.0,8007,7.9
2010,Archuleta,Private industries,2.0,8007,8.3
2010,Archuleta,"Agriculture, forestry, fishing and hunting",3.0,8007,-79.1
2010,Archuleta,Real estate and rental and leasing,56.0,8007,5.9
2010,Archuleta,Government and government enterprises,83.0,8007,4.9
2010,Baca,All industry total,1.0,8009,-8.9
2010,Baca,Private industries,2.0,8009,-11
2010,Baca,"Agriculture, forestry, fishing and hunting",3.0,8009,-23.7
2010,Baca,Real estate and rental and leasing,56.0,8009,(D)
2010,Baca,Government and government enterprises,83.0,8009,2.4
2010,Bent,All industry total,1.0,8011,-2.4
2010,Bent,Private industries,2.0,8011,-3.4
2010,Bent,"Agriculture, forestry, fishing and hunting",3.0,8011,-21.9
2010,Bent,Real estate and rental and leasing,56.0,8011,2.2
2010,Bent,Government and government enterprises,83.0,8011,0.4
2010,Boulder,All industry total,1.0,8013,2.5
2010,Boulder,Private industries,2.0,8013,2.4
2010,Boulder,"Agriculture, forestry, fishing and hunting",3.0,8013,-0.6
2010,Boulder,Real estate and rental and leasing,56.0,8013,2.6
2010,Boulder,Government and government enterprises,83.0,8013,2.7
2010,Broomfield,All industry total,1.0,8014,15.7
2010,Broomfield,Private industries,2.0,8014,15.9
2010,Broomfield,"Agriculture, forestry, fishing and hunting",3.0,8014,-31.1
2010,Broomfield,Real estate and rental and leasing,56.0,8014,5.6
2010,Broomfield,Government and government enterprises,83.0,8014,2.1
2010,Chaffee,All industry total,1.0,8015,1.3
2010,Chaffee,Private industries,2.0,8015,1.1
2010,Chaffee,"Agriculture, forestry, fishing and hunting",3.0,8015,-34
2010,Chaffee,Real estate and rental and leasing,56.0,8015,-1.6
2010,Chaffee,Government and government enterprises,83.0,8015,1.8
2010,Cheyenne,All industry total,1.0,8017,18.5
2010,Cheyenne,Private industries,2.0,8017,20.2
2010,Cheyenne,"Agriculture, forestry, fishing and hunting",3.0,8017,25.1
2010,Cheyenne,Real estate and rental and leasing,56.0,8017,(D)
2010,Cheyenne,Government and government enterprises,83.0,8017,-0.6
2010,Conejos,All industry total,1.0,8021,-15.6
2010,Conejos,Private industries,2.0,8021,-18.5
2010,Conejos,"Agriculture, forestry, fishing and hunting",3.0,8021,-85.7
2010,Conejos,Real estate and rental and leasing,56.0,8021,(D)
2010,Conejos,Government and government enterprises,83.0,8021,-3
2010,Costilla,All industry total,1.0,8023,-11.9
2010,Costilla,Private industries,2.0,8023,-14.5
2010,Costilla,"Agriculture, forestry, fishing and hunting",3.0,8023,-87.5
2010,Costilla,Real estate and rental and leasing,56.0,8023,(D)
2010,Costilla,Government and government enterprises,83.0,8023,0.5
2010,Crowley,All industry total,1.0,8025,4.5
2010,Crowley,Private industries,2.0,8025,7.6
2010,Crowley,"Agriculture, forestry, fishing and hunting",3.0,8025,(D)
2010,Crowley,Real estate and rental and leasing,56.0,8025,(D)
